,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
4g_report_train_0003,4.955053245628122,5.915813072768335,3.9942934184879086,96.49790765124493,61750,333.37829810968964,2113.9238120017203,2114.7988311249997,3.994056674486715,0,18.0,25345984.0,20235.400988933696,24158.943157404658,16311.858820462736
4g_report_tram_0001,4.742171265565992,5.601306035487275,3.8830364956447094,95.70112214482913,63350,229.42461019562947,1513.0017933628835,2098.554755989583,0.15378951223828255,0,19.0,26321234.0,20865.725551706855,24645.94969740032,17085.50140601339
hd_trace0000,2.114892209298156,2.2431090486213248,1.9866753699749866,61.32828315825188,67150,247.43114462130205,1161.8959148190625,2145.553923,13.431633695254465,3,26.0,27413834.0,29105.27784991222,30869.80595074475,27340.749749079692
hd_trace0001,1.6136856697488862,1.5591891404300302,1.6681821990677421,69.92483713170162,66050,65.11078073968297,743.6251234946278,2140.872664520834,15.81562507170431,2,23.0,27116641.0,43381.855344986645,41916.78653013974,44846.92415983355
hd_trace0003,2.6775679922005544,2.742069506150532,2.6130664782505764,84.57503628572013,58200,159.48133902924775,1769.3611259495547,2108.55940184375,8.543315509695192,1,19.0,23788179.0,31604.853593900698,32366.201545068354,30843.505642733042
hd_trace0004,4.662514254963096,5.497628144161683,3.827400365764509,96.80091715645412,65200,74.92499896274292,1248.159707988071,2141.5376031875,0.15490093041827088,0,20.0,27032314.0,21449.65886583719,25291.55769078224,17607.760040892143
pen_trace_215252_http---www.msn.com,4.738249399596219,5.6703394674804395,3.806159331711999,95.03270493643019,60550,191.72026188158517,1719.0831540385416,2102.8738688958333,0.08464217831881281,0,20.0,25136326.0,20863.875516553497,24968.136290207476,16759.61474289952
pen_trace_28919_http---www.google.com-mobile-,4.451474598510648,5.282426980497011,3.620522216524286,87.68107754567733,66850,262.9749709825654,1847.4289337569378,2133.4611284374996,0.10591012539570949,0,24.0,27778983.0,20408.21677292967,24217.798511357145,16598.635034502197
pen_trace_6780_http---www.facebook.com,-0.6568532500398242,-0.4963551197478901,-0.8173513803317584,-212.6426550133832,73350,81.51695981102375,797.5894572718394,2178.968271666666,228.6515386042733,11,18.0,30162742.0,344284.4700236369,260160.63608661518,428408.3039606586
pen_trace_7256_http---www.facebook.com,-0.8343947425419342,-0.633437068713462,-1.0353524163704064,-251.6226740146893,70050,34.27117590484084,192.4905109564248,2178.1135127916664,208.4838554905952,33,19.0,28632152.0,320132.41894278117,243030.9429293581,397233.8949562043
pen_trace_797466_http---www.amazon.com,5.497690199403797,6.590574530847455,4.40480586796014,101.22577367884044,62100,286.6036119208186,2119.6335532036906,2112.4093212500006,0.24220539708661226,0,18.0,25322087.0,19169.96499099321,22980.757089691666,15359.172892294753
pen_trace_797700_http---www.yahoo.com,5.735822323481544,7.068820332499472,4.402824314463617,98.25081948217826,60750,681.0557210577932,2233.7143220001676,2143.061308020833,0.08486805741842013,0,20.0,25260900.0,18107.294775892053,22315.407671257002,13899.181880527105
pen_trace_805936_http---www.youtube.com,0.5254684812407175,0.4533250891691453,0.5976118733122898,37.71007670223441,68150,76.17968866527148,860.3767246210081,2140.7015406354167,36.104477820301646,6,19.0,27723794.0,73143.39489029231,63101.28427205548,83185.50550852915
pen_trace_806172_http---www.amazon.com,-0.9341450364998257,-0.7165498892800992,-1.1517401837195522,-216.8022110495744,60150,28.424673696911597,193.50940597471043,2018.3780195520833,156.06288620637315,36,23.0,24946516.0,245401.41631856438,188238.81819370954,302564.01444341923
pen_trace_87304_http---www.msn.com,2.7665269431106267,2.8965966013582642,2.6364572848629897,79.73844740381915,64050,281.3275661779453,1707.4791709117228,2132.83040375,8.141663008677334,2,21.0,26662012.0,28886.433416215314,30244.543638780393,27528.323193650234
pen_trace_909_http---www.yahoo.com,4.957407994554206,5.926360407355057,3.988455581753355,96.38094241083343,61400,193.47881558111308,2139.5699609680396,2137.0039122499998,0.08966646223870416,0,21.0,25709344.0,20214.03494955444,24164.978256687427,16263.091642421454
pen_trace_942092_http---www.facebook.com,5.358853319760166,6.385114877986563,4.332591761533768,102.31100176084675,60750,234.60115668344048,1992.761544236332,2094.4468188749997,0.09139049767333322,0,16.0,25373853.0,19818.816747853987,23614.272332140503,16023.36116356747
sd_trace0003,2.412070941382801,2.530590161577255,2.2935517211883467,76.06246913770002,67500,54.518899202859664,411.0240140114408,2103.846805145833,6.582350102072569,4,19.0,27553158.0,31610.41099794911,33163.616252913685,30057.205742984534
sd_trace0006,5.392956061639179,6.491655460646784,4.2942566626315735,94.20702236169986,61550,856.7948496635561,2250.3484117750304,2086.4376096041665,0.08335904934043166,0,20.0,25428057.0,18224.96483255521,21937.911439128704,14512.018225981716
syn_trace_12,4.866211814086604,5.824600392179043,3.9078232359941647,96.57991565470535,67200,86.18712545370084,1597.7287532234677,2146.6090278020833,0.1531220846928858,0,20.0,27190015.0,20647.942615040905,24714.504680029382,16581.380550052432
syn_trace_18,3.9729160496461042,4.740125400716174,3.2057066985760345,80.66956898951452,62550,85.70616700571671,1116.4309983573064,2075.0677162291668,0.11976615013272768,0,26.0,25574231.0,21091.404891865808,25164.363609854794,17018.446173876822
syn_trace_22,5.347434878300136,6.404637250665015,4.290232505935257,103.65398139766789,59750,246.9666354971022,1893.033911633447,2102.2196079687496,0.09571862878762159,0,16.0,24446992.0,20172.332895878368,24160.457796697352,16184.207995059385
syn_trace_36,4.828222698801554,5.7108333662717445,3.945612031331363,93.50936824395518,63950,230.48135832480074,1981.5723870320085,2109.41002075,0.09700215119238585,0,20.0,26112611.0,20036.808563532002,23699.585134426517,16374.031992637485
syn_trace_39,5.047567789200226,5.994554155102879,4.100581423297574,98.65755529267605,65450,194.43883912779802,1885.556748968717,2131.08509340625,0.11220432103548349,0,19.0,26557805.0,20258.635098557505,24059.406486151023,16457.863710963986
syn_trace_4,5.795089206242185,7.077510356392439,4.512668056091932,104.82816165232998,62250,534.3333005648769,2243.2891666300743,2150.6567735416666,0.08585951664724553,0,17.0,25382407.0,19020.599148160436,23229.752410176927,14811.445886143947
syn_trace_42,-0.5724274029328789,-0.4405589299531521,-0.7042958759126057,-130.2943439277638,65500,48.834039009507606,320.40110943143475,2166.7002391458327,154.42178590895188,13,20.0,26622744.0,240373.63183776222,184999.44183108024,295747.8218444442
syn_trace_49,5.017159115651247,6.006585581559205,4.02773264974329,95.1887559277513,60250,107.58890504942302,1820.7592129230688,2112.51220871875,0.12180357620987976,0,20.0,24554421.0,19740.36691425928,23633.335229888762,15847.3985986298
syn_trace_52,-0.296171784866867,-0.24290900587986716,-0.34943456385386684,-31.605626567957554,71400,52.26532019599462,249.33871653518753,2217.4708341562496,61.54015476610685,22,18.0,29319897.0,110280.47042346906,90447.9116758896,130113.02917104853
syn_trace_56,5.79909382702358,7.0322379708204465,4.565949683226714,101.21671833079034,67100,1031.0334845921236,2253.4730821602125,2136.8301337916664,0.08017188001486635,0,19.0,27773000.0,18280.484748161023,22167.725304248517,14393.244192073531
syn_trace_63,-0.20774532590358347,-0.18002244100013576,-0.23546821080703118,-15.04553737364683,66250,45.38129847704899,223.44606182385138,2144.29361225,35.87279153372099,21,24.0,26643556.0,73736.0782033339,63896.257257319616,83575.89914934819
syn_trace_68,5.021378810116943,5.989283966307266,4.053473653926619,95.30572895821265,61700,124.87741979209203,2020.634557712034,2131.560986072917,0.14153387126454126,0,21.0,26006927.0,19712.410471350464,23512.112596535455,15912.70834616547
syn_trace_72,5.878386672796371,7.27957777372248,4.477195571870263,102.66031656795512,69400,673.0411928812572,2218.376016344137,2182.2142716041662,0.08692099115517112,0,20.0,28253627.0,18516.05632754573,22929.602899850703,14102.509755240764
syn_trace_77,4.702759074733386,5.605061560802162,3.800456588664611,96.2836254338296,62000,180.69539569867368,1602.8143194788597,2127.177085427083,0.0957612825018957,0,21.0,25739463.0,21256.365147787652,25334.752071898118,17177.978223677186
syn_trace_83,-0.6881561413313736,-0.5179772824896238,-0.8583350001731234,-256.3337060579477,67900,53.92440642310337,508.8498509572343,2175.804760927083,263.2194429347652,12,17.0,27772877.0,396757.52435209707,298640.630996343,494874.41770785116
syn_trace_86,5.09998047130844,6.086203629270804,4.113757313346077,96.95261073551565,59950,243.8704058003176,2040.5827903107597,2122.577846,0.126601345090546,0,20.0,24563148.0,19748.89838794609,23567.897508435093,15929.899267457087
syn_trace_96,4.882944677039913,5.9549828717010165,3.8109064823788095,91.70333894755228,64500,313.7707242130603,2147.5164124951816,2093.254004979167,0.0887136422443924,0,22.0,25920809.0,19731.41106659427,24063.392626289286,15399.429506899254
syn_trace_98,5.7873043078716595,7.084853091558104,4.489755524185214,103.2915588149423,64700,501.1946907755043,2187.8987923019345,2158.13494415625,0.08830201895435152,0,19.0,26827526.0,18792.631929625983,23006.054173447967,14579.209685803997
