,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
pen_trace_7256_http---www.facebook.com,-0.7474083475032708,-0.5756730212116385,-0.919143673794903,-213.13427386115077,63750,34.34008531961535,244.11294064605258,2263.0058684375003,191.99557228479324,24,25.0,26043345.0,301059.2382686831,231883.5236945877,370234.9528427784
pen_trace_797466_http---www.amazon.com,4.782066999589471,6.132506632452918,3.431627366726024,101.08078065476519,65750,282.8986054481757,2114.0478676685857,2214.529502604167,0.24220539708661226,0,21.0,27481168.0,22969.211921455913,29455.640095096413,16482.783747815414
pen_trace_797700_http---www.yahoo.com,5.924347856248133,7.566017718558763,4.282677993937503,122.43726726770092,68400,713.577754405376,2232.386631844712,2354.9522171875,0.08486805741842013,0,17.0,28512899.0,22385.737288407356,28588.950054386845,16182.524522427866
pen_trace_805936_http---www.youtube.com,0.42009472019929706,0.3731183557305821,0.46707108466801195,33.69993984585483,66400,77.07643341212552,1015.3908805767566,2265.71880625,39.65236824269513,9,19.0,27091145.0,81235.66727944094,72151.62948870685,90319.70507017503
pen_trace_806172_http---www.amazon.com,-0.8477998115945029,-0.6498499936224601,-1.0457496295665456,-273.73506303526113,71600,27.654798183400256,189.03461965546248,2426.2509093750004,227.91664178435826,40,18.0,29790800.0,341493.8662847737,261759.65574926572,421228.0768202816
pen_trace_87304_http---www.msn.com,2.45085677074327,2.664364121464867,2.2373494200216726,87.66018811286074,66450,283.95965986686707,1720.274876858437,2278.261886041667,10.61989556978666,2,21.0,27337385.0,36040.676758167436,39180.37447722922,32900.97903910565
pen_trace_909_http---www.yahoo.com,4.22845024937037,5.281938231591964,3.174962267148777,95.26606628607277,62000,209.13665005933404,2128.1798071022968,2172.2443409374996,0.08966646223870416,0,23.0,25698717.0,24020.805766467474,30005.4168428354,18036.19469009955
pen_trace_942092_http---www.facebook.com,4.738498545016643,5.964597366896433,3.512399723136854,106.00768812037043,68700,252.10263562272323,1922.5953675976232,2288.900402395833,0.09139049767333322,0,22.0,28143704.0,23976.90089329399,30180.98635587441,17772.815430713566
sd_trace0003,3.3924212708745505,4.13161740944822,2.6532251323008813,86.3908928139439,59400,55.00651709834846,597.8721560931175,2142.8237447916667,1.2701999757605038,1,23.0,24908063.0,26735.206242703294,32560.709516205126,20909.702969201466
sd_trace0006,4.944218228311184,6.348168683862195,3.5402677727601737,98.08601222317995,58700,838.3983051688915,2251.454224064843,2086.479352083333,0.08335904934043166,0,17.0,24301550.0,21578.44473130574,27705.81733333326,15451.07212927822
syn_trace_12,4.594478198941272,5.755958482479876,3.4329979154026677,106.41434518156237,66750,85.69057425669202,1700.1752856869207,2319.785861458334,0.1531220846928858,0,23.0,27653889.0,24742.591194591278,30997.49775673274,18487.684632449815
syn_trace_18,5.134121097036558,6.35180818932334,3.916434004749775,127.10909472126559,76800,83.23251594606454,689.0203823469408,2442.5562932291664,0.11976615013272768,0,18.0,30941333.0,26233.397873864553,32455.313830671003,20011.481917058103
syn_trace_22,4.4391062716819905,5.56300129856006,3.3152112448039204,100.91860177298037,67250,249.72503762203243,1884.9548522993948,2286.9355126041664,0.09571862878762159,0,23.0,26913165.0,24291.056196521182,30441.077301229183,18141.035091813184
syn_trace_36,4.337807538712843,5.47537790579907,3.2002371716266156,96.03675797237938,64850,230.22873348402288,1987.7009139569466,2224.566724270833,0.09700215119238585,0,22.0,26283533.0,23774.506197173865,30009.262695853835,17539.749698493895
syn_trace_39,4.358903527345681,5.478666606252936,3.239140448438425,98.09820898432639,62350,197.65891705635596,1951.1895880152028,2163.466951770833,0.11220432103548349,0,20.0,25725891.0,24095.374637026296,30285.25948345929,17905.4897905933
syn_trace_4,5.438954798676896,6.921668974691476,3.9562406226623166,114.90621105069295,65800,527.8398013949961,2247.062916526086,2269.0013055208333,0.08585951664724553,0,17.0,27048961.0,22822.61638085216,29044.292804760662,16600.939956943654
syn_trace_42,-0.502222254081977,-0.39119304601675564,-0.6132514621471982,-122.23340259522652,68800,51.31530872975464,445.42619382948885,2324.6807220833334,168.65416021145748,10,17.0,27899953.0,255891.66251014185,199320.1975699276,312463.1274503561
syn_trace_49,4.17464209272337,5.2607568407486855,3.0885273446980537,93.83627594055997,68200,109.17214371013497,1806.1580687861574,2246.852951875,0.12180357620987976,0,25.0,27589900.0,24109.618153515752,30382.206620784757,17837.02968624675
syn_trace_52,0.222333966882387,0.1957211889704961,0.2489467447942779,19.063916535535153,68400,51.926489332325765,311.44287433523385,2330.9674404166667,49.072838895924576,14,17.0,27617879.0,86990.86463280802,76578.2920812602,97403.43718435583
syn_trace_56,3.5777215871533654,4.621549928560191,2.53389324574654,70.75017227146205,61800,975.0288325394689,2253.533963640208,2146.3930090624995,0.08017188001486635,0,31.0,25599702.0,21615.14135185008,27921.528418857088,15308.754284843077
syn_trace_63,-0.07412052755556525,-0.0674638225773413,-0.0807772325337892,-5.287672696470963,63550,45.287732502465985,222.32409169415777,2199.3451027083333,32.002482892911054,22,23.0,26073919.0,71918.91907041462,65459.93877989227,78377.89936093695
syn_trace_68,3.797592055828824,4.851557823931263,2.7436262877263853,81.46281438793167,62550,126.25634715311273,1986.5915247558362,2182.3707175,0.14153387126454126,0,27.0,26018685.0,23241.360813160038,29691.658354622003,16791.063271698073
syn_trace_72,4.085701295268054,5.281264561961702,2.8901380285744054,79.50008998030948,55250,624.8832823845802,2219.3565917097876,2025.1599828124997,0.08692099115517112,0,24.0,22769674.0,21280.298925436527,27507.367881500053,15053.229969373004
syn_trace_77,4.183112225315629,5.157501923752881,3.2087225268783754,101.06942043824012,64550,191.28502830849635,1461.909225555805,2202.9510784374997,0.0957612825018957,0,21.0,26511512.0,25547.460097893178,31498.336048572608,19596.584147213747
syn_trace_83,-0.6454008352023903,-0.4908743432773338,-0.799927327127447,-238.80147306397666,67550,53.21394706693719,481.8256747040879,2220.495649375,257.3745347107989,12,16.0,27716804.0,392505.41971027735,298528.96002630255,486481.87939425214
syn_trace_86,4.251288401856752,5.363976337673146,3.138600466040358,92.36964246599553,60600,264.4912111881606,2037.9023565960943,2167.640614895833,0.126601345090546,0,23.0,24443474.0,23325.284108773587,29430.200965505042,17220.367252042128
syn_trace_96,4.474865513207085,5.625557621618662,3.324173404795508,98.79339403351804,65600,332.4409276027047,2066.709105297924,2220.1193155208334,0.0887136422443924,0,22.0,26913141.0,23640.608200786028,29719.687273533036,17561.52912803902
syn_trace_98,4.945231133724984,6.324494056942748,3.565968210507219,101.29274683465749,64300,488.54964217771055,2204.8511433142817,2240.516409166667,0.08830201895435152,0,22.0,26923000.0,22210.671409777173,28405.39815699864,16015.944662555707
