,iteration,score,avgScore,power,avgPower,data,avgData,quality,avg_quality,rebufferPen,numrebuffer,smoothPen,numSmooth,powerPen,avgPowerPen,epsilon
778,1000,-120.78900102326018,-200.27292292377612,129923.01775549001,119868.58816758069,36101011,33046153.12871287,161.05581640625,153.908915937861,19.62661080401396,37,55.663840984375,44,-110.18931551290704,-88.57198564377985,1
779,1000,-120.78900102326018,-193.64735950320673,119893.00044675024,119867.55469146081,34384832,33115317.693069305,151.31956027604167,153.93066391821372,0.0,1,65.35564906770833,42,-87.50628970380573,-88.5797408678514,1
780,1000,-120.78900102326018,-194.07778749938893,116980.66282260805,119820.07094983046,31363047,33074498.752475247,153.12271310416665,153.91437567202973,0.0,2,89.89872913020832,44,-83.54009353615858,-88.496967598659,1
781,1000,-120.78900102326018,-195.12336477387757,118708.42237599722,119856.27241212764,30190917,33085119.405940592,146.83945017708328,153.94216538294143,0.0,4,68.143490578125,43,-88.84905516414429,-88.58226155881728,1
782,1000,-120.78900102326018,-194.97095420562633,118109.68611659302,119835.86787165496,37780324,33120299.02970297,160.58824555208332,153.9940868034757,0.0,1,72.32755505729166,44,-84.24567930187449,-88.53990120366292,1
783,1000,-120.78900102326018,-194.54710825544245,118057.44050190435,119818.45510713402,34608824,33113035.623762377,163.0840147447917,154.0542251553734,0.0,1,58.204552890625,44,-85.0501424248514,-88.51818228970782,1
784,1000,-120.78900102326018,-192.80665723133845,120572.84772910962,119783.3581867078,35576366,33088800.21782178,151.993286953125,153.92372022731027,0.0,1,77.74746181770834,44,-90.99494581713577,-88.48534217589031,1
785,1000,-120.78900102326018,-180.50575869579777,114213.48474568356,119688.43885699306,28342814,33077563.12871287,149.0255253125,153.96622257106029,0.0,1,70.45839561979165,44,-73.3927563615378,-88.24926887187186,1
786,1000,-120.78900102326018,-243.58363439966544,161850.17691065796,120135.55719933272,36590874,33128333.554455444,156.74995621875,154.0151274354889,342.9992603112344,45,57.22913975520833,44,-196.30764974003682,-89.41923247769304,1
787,1000,-120.78900102326018,-250.59436568311665,132516.46041878595,120319.71057532654,42873932,33251324.881188117,173.26008576562498,154.32512359797857,0.0,11,57.58115711458333,44,-115.98869351154292,-89.81031176508772,1
788,1000,-120.78900102326018,-250.6382803804766,117645.50594669626,120349.2473358643,32339493,33279550.118811883,154.1017535885416,154.4051033511242,0.0,1,63.76407885937501,43,-85.53065152933628,-89.90118463849493,1
789,1000,-120.78900102326018,-251.60165571697533,117619.49204078954,120354.277064896,31226625,33275234.465346534,143.55795754166667,154.40549303099218,0.0,4,71.28674009374998,43,-86.86643326435419,-89.92530126612125,1
790,1000,-120.78900102326018,-257.85312240717514,137464.29283476263,120418.18501956346,41566118,33312535.544554457,176.93840051041667,154.60127841109738,104.80063501417817,39,61.232924416666684,44,-126.17965946439502,-90.03846048119466,1
791,1000,-120.78900102326018,-258.0554035462203,120491.94104613128,120480.88692984014,35897372,33357303.851485148,152.12020152604165,154.57828947065804,0.0,3,66.31647222916669,44,-92.19184967528817,-90.19369790845445,1
792,1000,-120.78900102326018,-258.41067914112796,118510.6562171156,120543.29809084907,33019347,33425510.544554457,151.97548146875005,154.68855800917908,0.0,1,71.51928780729169,44,-88.32160207160774,-90.35063106905936,1
793,1000,-120.78900102326018,-258.3913299565197,117466.00530198531,120523.74786924952,31559562,33388106.97029703,145.74719080729167,154.58421303155941,0.0,1,71.72543248958334,44,-86.48230433897712,-90.35722162777549,1
794,1000,-120.78900102326018,-257.95562739591526,117519.8813656699,120501.31763901046,31250745,33327721.81188119,156.04958518229165,154.4467380126341,0.0,2,62.26000997916665,44,-82.72969792683986,-90.2972079303842,1
795,1000,-120.78900102326018,-257.5976472824514,116744.41621111734,120462.66810611637,31728648,33275698.108910892,147.830293640625,154.26034874912338,0.0,1,88.58171632291666,43,-81.17467029202814,-90.25195147315212,1
796,1000,-120.78900102326018,-258.43264286345635,122356.94071079479,120547.68477792699,38469863,33369866.524752475,163.52322921354173,154.41505646539812,0.0,3,75.6984399010417,44,-91.88384697021807,-90.39665045023611,1
797,1000,-120.78900102326018,-260.95538472569433,121036.84598076782,120561.1390517127,32329127,33339101.069306932,151.9156838125,154.27999943590143,0.0,16,71.96654884374999,44,-94.11186435712521,-90.47392461017458,1
798,1000,-120.78900102326018,-260.76158178938505,122820.88654917346,120615.12617116752,38886776,33415415.118811883,171.70664101041666,154.4966410342925,0.0,2,60.52351610937498,44,-93.79485181006316,-90.57193136497861,1
799,1000,-120.78900102326018,-254.9853921652172,121832.10362364551,120564.22857696921,35741518,33403591.01980198,150.5438955625,154.3340328693276,0.0,6,79.01720374479166,43,-92.80430658360906,-90.46382637425111,1
800,1000,-120.78900102326018,-256.8491945362974,122743.43982736126,120610.80758371865,34339722,33383128.366336633,160.43181396354166,154.2993293107983,0.0,8,74.65900095312502,44,-95.25362428003798,-90.58703347259161,1
801,1000,-120.78900102326018,-265.6484684522197,124584.78376886272,120629.11612095496,30012123,33318998.82178218,142.90047655208338,154.17289973478756,85.31463623529177,32,95.77231455729166,44,-98.00201264601117,-90.61984536586888,1
802,1000,-120.78900102326018,-265.2963087094926,118751.18202413479,120647.99432130206,34861080,33366689.86138614,161.75422155729163,154.26855708013616,0.0,1,61.73099164062499,44,-86.80091068638905,-90.6935138295885,1
803,1000,-120.78900102326018,-294.3909309268776,141250.41999779185,120848.81076883247,38086727,33417420.524752475,168.81169554166667,154.40519317213284,10.741296581283846,25,54.92077309895835,44,-148.8048437276529,-91.29632905976334,1
804,1000,-120.78900102326018,-294.06217522602356,116459.45072464594,120818.94714380192,34481604,33420875.02970297,162.14467572916672,154.5363234129538,0.0,1,64.84662671874999,44,-77.78439783888012,-91.19626121650064,1
805,1000,-120.78900102326018,-294.23855074038846,118004.65455297056,120795.701194215,37741722,33437395.386138614,160.60660951041666,154.50160675567247,0.0,1,75.15487741145834,43,-83.18596190373901,-91.14148678762737,1
